last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Abrams, CJ,682928,---,,SS,-7,-9,-4,-1,-6,1,-7,-1,74%,76%,-2%
Abreu, José,547989,White Sox,,1B,0,1,-2,2,1,0,0,1,73%,72%,1%
Acuña Jr., Ronald,660670,Braves,,RF,-6,-7,0,-2,-4,-1,-5,-2,87%,91%,-4%
Adames, Willy,642715,Brewers,,SS,7,10,8,6,-5,1,7,2,78%,76%,2%
Adell, Jo,666176,Angels,,LF,-3,-3,1,-3,-1,-1,-5,2,86%,88%,-2%
Aguilar, Jesús,542583,---,,1B,0,0,-1,1,1,-1,-1,1,73%,73%,0%
Albies, Ozzie,645277,Braves,,2B,3,4,2,1,2,-1,3,1,73%,71%,2%
Alcántara, Sergio,642727,---,,SS,-1,-1,3,-4,-1,1,3,-4,73%,74%,-1%
Allen, Nick,669397,Athletics,,SS,7,9,-2,6,6,-1,3,6,80%,78%,2%
Alonso, Pete,624413,Mets,,1B,-6,-8,1,-6,-3,1,-2,-5,68%,71%,-3%
Altuve, Jose,514888,Astros,,2B,1,2,4,-4,1,0,1,1,74%,74%,0%
Anderson, Brian,605119,Marlins,,3B,-5,-6,-5,2,-1,-1,-4,-2,74%,76%,-2%
Anderson, Tim,641313,White Sox,,SS,-1,-2,-1,2,-2,-1,-4,2,71%,71%,0%
Andrus, Elvis,462101,---,,SS,3,3,12,0,-7,-2,8,-4,73%,73%,0%
Aquino, Aristides,606157,Reds,,RF,1,1,-1,0,1,1,0,2,89%,88%,1%
Arcia, Orlando,606115,Braves,,SS,-3,-3,-1,1,-1,-2,-4,2,77%,79%,-2%
Arenado, Nolan,571448,Cardinals,,3B,11,14,4,6,4,0,13,1,73%,70%,3%
Arozarena, Randy,668227,Rays,,LF,0,0,2,-2,0,-1,0,0,86%,86%,0%
Arraez, Luis,650333,Twins,,2B,-3,-4,-2,-1,-1,1,-6,2,79%,81%,-2%
Arroyo, Christian,624414,Red Sox,,2B,-5,-5,1,-2,-5,0,-3,-2,73%,76%,-3%
Azocar, José,640492,Padres,,CF,7,8,3,0,2,2,7,1,95%,90%,5%
Baddoo, Akil,668731,Tigers,,CF,-1,-1,-1,0,3,-2,1,-1,90%,91%,-1%
Bader, Harrison,664056,---,,CF,6,7,3,3,1,0,1,5,94%,91%,3%
Barrero, Jose,676480,Reds,,SS,-1,-2,0,-2,0,0,-1,-1,73%,74%,-1%
Bell, Josh,605137,---,,1B,-3,-4,-1,-5,-1,2,-1,-4,72%,74%,-2%
Bellinger, Cody,641355,Dodgers,,CF,6,7,-1,4,2,2,5,2,91%,89%,2%
Belt, Brandon,474832,Giants,,1B,-3,-4,-1,-3,2,-1,-5,2,69%,71%,-2%
Benintendi, Andrew,643217,---,,LF,0,0,1,1,-3,1,-1,1,89%,89%,0%
Berti, Jon,542932,Marlins,,3B,3,4,4,0,1,-1,1,2,77%,76%,1%
Betts, Mookie,605141,Dodgers,,RF,4,4,2,0,0,2,1,3,89%,87%,2%
Bichette, Bo,666182,Blue Jays,,SS,-5,-7,-10,1,0,2,-12,5,75%,76%,-1%
Biggio, Cavan,624415,Blue Jays,,2B,6,7,1,4,1,1,2,5,79%,76%,3%
Bogaerts, Xander,593428,Red Sox,,SS,4,5,6,-2,1,-1,-3,8,77%,76%,1%
Bohm, Alec,664761,Phillies,,3B,-6,-9,1,-8,-1,0,-9,0,69%,71%,-2%
Bradley Jr., Jackie,598265,---,,CF,6,7,0,3,3,1,4,2,86%,84%,2%
Bregman, Alex,608324,Astros,,3B,6,8,1,0,4,2,6,2,72%,71%,1%
Bride, Jonah,681146,Athletics,,2B,0,0,0,1,-2,1,1,-1,68%,68%,0%
Brown, Seth,664913,Athletics,,RF,-6,-7,2,-5,0,-4,-5,-2,80%,82%,-2%
Báez, Javier,595879,Tigers,,SS,1,1,4,4,-6,1,2,-1,73%,73%,0%
Calhoun, Kole,594777,Rangers,,RF,-1,-1,0,1,-1,-1,-1,0,86%,86%,0%
Candelario, Jeimer,600869,Tigers,,3B,-4,-6,4,-2,-6,-2,-5,-1,69%,70%,-1%
Canha, Mark,592192,Mets,,LF,-1,-2,-1,0,-3,2,1,-2,86%,86%,0%
Carlson, Dylan,666185,Cardinals,,CF,3,3,-1,1,3,1,3,1,86%,85%,1%
Castellanos, Nick,592206,Phillies,,RF,-9,-10,-1,-4,-3,-1,-4,-6,81%,85%,-4%
Castillo, Diego,660636,Pirates,,SS,-1,-2,-1,2,-2,-1,1,-2,73%,74%,-1%
Castro, Harold,605612,Tigers,,2B,-10,-13,-5,-6,0,-2,-12,-1,66%,71%,-5%
Castro, Rodolfo,666801,Pirates,,2B,-3,-4,-5,-1,2,0,0,-4,75%,76%,-1%
Castro, Willi,650489,Tigers,,2B,0,0,2,2,-3,-2,-1,1,82%,82%,0%
Celestino, Gilberto,665482,Twins,,CF,2,2,0,1,2,-1,1,2,90%,89%,1%
Chang, Yu,644374,---,,2B,2,3,2,0,0,0,0,3,82%,80%,2%
Chapman, Matt,656305,Blue Jays,,3B,1,1,2,-1,-1,1,3,-1,73%,72%,1%
Chavis, Michael,656308,Pirates,,1B,-4,-6,0,-1,0,-5,-6,0,64%,66%,-2%
Chisholm Jr., Jazz,665862,Marlins,,2B,2,3,3,1,0,0,2,1,83%,82%,1%
Choi, Ji-Man,596847,Rays,,1B,1,2,0,2,2,-2,-1,3,75%,74%,1%
Cordero, Franchy,614173,Red Sox,,LF,-7,-9,-4,-3,0,-2,-4,-5,73%,78%,-5%
Correa, Carlos,621043,Twins,,SS,-2,-3,4,2,-7,-1,-1,-2,78%,79%,-1%
Crawford, Brandon,543063,Giants,,SS,6,7,3,7,-3,0,8,-1,72%,70%,2%
Crawford, J.P.,641487,Mariners,,SS,-8,-11,-3,-3,-3,-2,-11,0,75%,77%,-2%
Cron, C.J.,543068,Rockies,,1B,0,0,-1,1,1,0,1,-1,68%,67%,1%
Cronenworth, Jake,630105,Padres,,2B,2,3,4,0,-2,2,0,3,77%,76%,1%
Cruz, Oneil,665833,Pirates,,SS,-7,-9,-3,-2,-4,-1,-6,-3,77%,80%,-3%
Dalbec, Bobby,666915,Red Sox,,1B,-1,-1,2,-2,0,-1,-1,0,73%,73%,0%
Daza, Yonathan,602074,Rockies,,CF,-2,-2,-1,-1,2,-3,-3,1,86%,87%,-1%
De La Cruz, Bryan,650559,Marlins,,CF,-2,-2,-2,-1,1,-1,-2,0,86%,87%,-1%
DeJong, Paul,657557,Cardinals,,SS,3,5,3,-1,3,0,4,0,76%,75%,1%
Devers, Rafael,646240,Red Sox,,3B,-2,-2,-2,0,0,0,-3,0,70%,70%,0%
Donaldson, Josh,518626,Yankees,,3B,4,6,0,4,3,-2,7,-2,74%,73%,1%
Donovan, Brendan,680977,Cardinals,,2B,-3,-3,3,-3,-3,0,-3,0,76%,77%,-1%
Dozier, Hunter,641531,Royals,,3B,-6,-7,-3,-2,-1,-1,-6,-1,73%,76%,-3%
Drury, Brandon,592273,---,,2B,1,1,1,-3,2,1,-1,2,68%,68%,0%
Dubón, Mauricio,643289,---,,SS,5,7,0,4,1,1,2,5,87%,84%,3%
Duffy, Matt,622110,Angels,,3B,-1,-2,-1,-1,0,1,-1,-1,72%,73%,-1%
Duran, Ezequiel,677649,Rangers,,3B,-1,-2,-3,-1,2,0,-4,2,70%,71%,-1%
Duran, Jarren,680776,Red Sox,,CF,-2,-2,0,2,-4,0,-1,-1,84%,86%,-2%
Duvall, Adam,594807,Braves,,LF,5,5,2,2,1,0,4,2,93%,90%,3%
Díaz, Aledmys,649557,Astros,,SS,2,3,4,-1,2,-2,1,2,78%,76%,2%
Díaz, Yandy,650490,Rays,,3B,-6,-7,3,-2,-9,1,-9,1,68%,70%,-2%
Edman, Tommy,669242,Cardinals,,2B,14,19,8,5,4,1,11,8,82%,79%,3%
Engel, Adam,641553,White Sox,,CF,3,3,-1,-1,2,2,3,0,91%,89%,2%
Escobar, Eduardo,500871,Mets,,3B,-5,-6,-1,-8,2,1,-6,0,65%,66%,-1%
Espinal, Santiago,669289,Blue Jays,,2B,7,9,4,4,-1,1,6,3,73%,71%,2%
Estrada, Thairo,642731,Giants,,2B,1,2,5,0,-3,-1,1,1,74%,74%,0%
Farmer, Kyle,571657,Reds,,SS,-1,-2,1,4,-6,-1,-2,0,74%,75%,-1%
Fletcher, David,664058,Angels,,2B,6,8,2,2,2,2,6,2,85%,81%,4%
Flores, Wilmer,527038,Giants,,2B,-2,-2,1,-2,-2,0,0,-3,73%,73%,0%
France, Ty,664034,Mariners,,1B,-4,-5,2,-2,-4,-1,-4,-1,67%,68%,-1%
Franco, Maikel,596748,Nationals,,3B,-2,-3,-2,4,-5,0,-3,0,69%,70%,-1%
Franco, Wander,677551,Rays,,SS,1,1,-1,-1,1,2,-2,3,79%,78%,1%
Frazier, Adam,624428,Mariners,,2B,4,6,3,3,-1,2,5,1,82%,80%,2%
Freeman, Freddie,518692,Dodgers,,1B,1,1,2,1,-2,-1,1,0,73%,73%,0%
Gallo, Joey,608336,---,,LF,-3,-3,-1,-1,-1,0,-4,1,85%,86%,-1%
Gamel, Ben,592325,Pirates,,LF,-5,-6,-3,1,-6,1,-2,-4,79%,83%,-4%
Garcia, Leury,544725,White Sox,,CF,0,0,-2,1,3,-2,-1,1,75%,74%,1%
García, Adolis,666969,Rangers,,CF,1,1,1,0,2,-2,2,-1,88%,88%,0%
García, Luis,671277,Nationals,,2B,-9,-13,-4,-7,-3,1,-8,-4,70%,74%,-4%
Giménez, Andrés,665926,Guardians,,2B,10,13,1,10,2,0,7,6,78%,75%,3%
Goldschmidt, Paul,502671,Cardinals,,1B,-4,-5,-1,-6,1,0,1,-7,71%,73%,-2%
Gonzalez, Oscar,660757,Guardians,,RF,-5,-6,2,-2,-5,0,-3,-2,85%,88%,-3%
González, Luis,670768,Giants,,RF,-4,-5,-1,-3,-1,0,-3,-2,87%,90%,-3%
Gordon, Nick,624503,Twins,,CF,-1,-2,-1,0,-1,0,1,-3,80%,81%,-1%
Gorman, Nolan,669357,Cardinals,,2B,-9,-12,-3,-4,-4,0,-5,-6,73%,77%,-4%
Greene, Riley,682985,Tigers,,CF,1,1,-5,4,2,0,1,1,89%,88%,1%
Gregorius, Didi,544369,Phillies,,SS,-4,-5,-2,-1,-2,0,-4,0,73%,76%,-3%
Grichuk, Randal,545341,Rockies,,CF,-1,-1,2,-2,0,0,2,-3,85%,86%,-1%
Grisham, Trent,663757,Padres,,CF,16,17,2,6,8,2,11,7,92%,88%,4%
Grossman, Robbie,543257,---,,LF,0,0,1,-1,-2,1,1,-1,89%,89%,0%
Guerrero Jr., Vladimir,665489,Blue Jays,,1B,-3,-4,-2,-3,1,0,-4,0,72%,73%,-1%
Guillorme, Luis,641645,Mets,,2B,5,6,6,2,-1,-1,4,2,76%,74%,2%
Gurriel Jr., Lourdes,666971,Blue Jays,,LF,-2,-2,0,0,-3,1,-1,-1,86%,87%,-1%
Gurriel, Yuli,493329,Astros,,1B,-7,-9,0,-11,1,0,-4,-5,70%,72%,-2%
Hampson, Garrett,641658,Rockies,,2B,0,0,0,0,-1,1,-3,2,77%,77%,0%
Happ, Ian,664023,Cubs,,LF,2,2,1,1,-2,2,3,-1,86%,86%,0%
Harris II, Michael,671739,Braves,,CF,6,7,-3,5,4,1,3,4,91%,88%,3%
Harrison, Josh,543281,White Sox,,2B,2,3,-2,5,-2,3,2,1,77%,76%,1%
Hayes, Ke'Bryan,663647,Pirates,,3B,14,18,12,4,2,0,17,1,74%,70%,4%
Hays, Austin,669720,Orioles,,LF,-6,-6,-1,-2,-4,0,-7,0,85%,87%,-2%
Hernandez, Yadiel,628450,Nationals,,LF,-5,-5,0,-2,-5,0,-4,-1,82%,86%,-4%
Hernández, César,514917,Nationals,,2B,-3,-4,4,-8,1,0,-3,0,74%,75%,-1%
Hernández, Enrique,571771,Red Sox,,2B,4,4,-1,5,0,0,2,2,89%,87%,2%
Hernández, Teoscar,606192,Blue Jays,,RF,-4,-4,0,-3,-2,1,1,-5,87%,88%,-1%
Hicks, Aaron,543305,Yankees,,CF,0,0,0,1,0,-1,2,-2,88%,88%,0%
Hoerner, Nico,663538,Cubs,,SS,10,13,3,7,5,-1,4,9,80%,77%,3%
Hoskins, Rhys,656555,Phillies,,1B,-7,-9,1,-10,0,0,-2,-7,71%,73%,-2%
Hosmer, Eric,543333,---,,1B,-1,-2,0,1,-1,-1,-7,5,68%,69%,-1%
Iglesias, José,578428,Rockies,,SS,0,0,6,2,-7,-1,4,-4,69%,69%,0%
India, Jonathan,663697,Reds,,2B,-7,-9,-4,-5,-3,1,-6,-4,70%,74%,-4%
Isbel, Kyle,664728,Royals,,RF,10,11,5,2,5,0,8,3,88%,83%,5%
Joe, Connor,656582,Rockies,,LF,-3,-4,-2,0,0,-1,-4,1,82%,84%,-2%
Judge, Aaron,592450,Yankees,,RF,3,3,-2,2,1,2,1,2,90%,89%,1%
Kemp, Tony,643393,Athletics,,2B,2,3,3,-2,-1,3,1,2,81%,80%,1%
Kepler, Max,596146,Twins,,RF,10,11,3,5,1,1,6,5,90%,86%,4%
Kim, Ha-Seong,673490,Padres,,SS,6,8,3,0,4,0,6,2,76%,75%,1%
Kiner-Falefa, Isiah,643396,Yankees,,SS,-3,-3,-10,3,3,2,-6,3,78%,78%,0%
Kwan, Steven,680757,Guardians,,LF,8,9,-2,4,4,3,6,3,89%,86%,3%
Laureano, Ramón,657656,Athletics,,CF,-5,-5,0,0,-2,-3,-2,-3,85%,87%,-2%
LeMahieu, DJ,518934,Yankees,,2B,7,9,1,3,4,1,3,6,76%,74%,2%
Lindor, Francisco,596019,Mets,,SS,10,13,6,5,1,0,12,1,77%,74%,3%
Longoria, Evan,446334,Giants,,3B,0,0,1,1,-1,0,0,1,72%,72%,0%
Lopez, Nicky,670032,Royals,,SS,10,14,7,6,0,1,8,5,74%,72%,2%
Lowe, Brandon,664040,Rays,,2B,-3,-4,-2,0,-1,0,-2,-2,71%,73%,-2%
Lowe, Nathaniel,663993,Rangers,,1B,-8,-11,-3,-6,-2,1,-4,-7,71%,74%,-3%
Lux, Gavin,666158,Dodgers,,2B,2,3,4,2,0,-3,2,0,78%,77%,1%
Machado, Manny,592518,Padres,,3B,6,9,6,2,2,-1,6,3,72%,70%,2%
Machín, Vimael,605353,Athletics,,3B,-4,-5,0,0,-5,0,-3,-2,66%,68%,-2%
Madrigal, Nick,663611,Cubs,,2B,2,2,1,-1,2,0,1,1,74%,73%,1%
Marsh, Brandon,669016,---,,CF,7,7,2,3,2,1,3,4,92%,90%,2%
Marte, Ketel,606466,D-backs,,2B,-2,-3,2,-1,-2,-1,-4,1,75%,76%,-1%
Marte, Starling,516782,Mets,,CF,-1,-2,1,-1,-2,0,0,-1,87%,87%,0%
Massey, Michael,686681,Royals,,2B,-3,-4,-1,-4,0,1,-1,-3,71%,73%,-2%
Mateo, Jorge,622761,Orioles,,SS,8,11,5,1,2,3,7,4,75%,73%,2%
McCarthy, Jake,664983,D-backs,,RF,-1,-1,0,-1,-2,1,-1,-1,85%,86%,-1%
McCormick, Chas,676801,Astros,,CF,6,7,1,2,3,1,2,5,90%,86%,4%
McKinstry, Zach,656716,---,,2B,3,3,-1,2,1,1,2,1,78%,76%,2%
McMahon, Ryan,641857,Rockies,,3B,7,10,5,4,-1,2,3,6,70%,68%,2%
McNeil, Jeff,643446,Mets,,2B,6,8,5,3,-2,2,2,6,82%,80%,2%
Merrifield, Whit,593160,---,,2B,5,6,0,3,1,1,1,4,78%,77%,1%
Miller, Owen,680911,Guardians,,1B,5,6,-1,3,1,2,4,2,74%,72%,2%
Miranda, Jose,669304,Twins,,1B,-3,-4,0,-4,1,-1,-3,-1,68%,69%,-1%
Moncada, Yoán,660162,White Sox,,3B,3,4,1,5,-3,1,2,2,74%,73%,1%
Moore, Dylan,664238,Mariners,,2B,1,1,-1,2,0,-1,-1,2,82%,81%,1%
Morel, Christopher,666624,Cubs,,2B,-7,-8,-2,-3,-2,-1,-3,-6,80%,83%,-3%
Mountcastle, Ryan,663624,Orioles,,1B,2,2,-1,-1,3,1,-1,3,72%,71%,1%
Mullins, Cedric,656775,Orioles,,CF,8,9,-2,4,6,1,9,0,87%,85%,2%
Muncy, Max,571970,Dodgers,,1B,-3,-4,-6,0,1,0,-3,-1,74%,75%,-1%
Myers, Wil,571976,Padres,,1B,3,4,1,0,2,1,1,3,87%,84%,3%
Naylor, Josh,647304,Guardians,,RF,2,3,1,-1,2,0,2,0,77%,76%,1%
Neuse, Sheldon,641914,Athletics,,3B,-5,-7,-4,-1,-2,1,-6,0,69%,72%,-3%
Newman, Kevin,621028,Pirates,,SS,0,-1,-1,3,-3,0,-1,1,77%,77%,0%
Nimmo, Brandon,607043,Mets,,CF,5,6,1,2,2,1,5,1,91%,90%,1%
Nootbaar, Lars,663457,Cardinals,,RF,1,1,0,0,0,1,0,1,87%,86%,1%
O'Neill, Tyler,641933,Cardinals,,LF,1,1,1,0,-1,1,0,2,85%,84%,1%
Odor, Rougned,596059,Orioles,,2B,-4,-6,-6,-1,3,-2,-2,-4,71%,72%,-1%
Olson, Matt,621566,Braves,,1B,2,3,1,-2,2,2,-2,5,72%,71%,1%
Ortega, Rafael,542364,Cubs,,CF,-1,-1,0,2,-3,0,0,0,86%,87%,-1%
Pache, Cristian,665506,Athletics,,CF,7,7,1,3,3,1,5,2,93%,89%,4%
Paredes, Isaac,670623,Rays,,3B,4,6,2,2,2,0,2,4,72%,70%,2%
Pederson, Joc,592626,Giants,,CF,-10,-11,-1,-2,-7,-1,-6,-5,78%,84%,-6%
Peralta, David,444482,---,,LF,4,5,5,3,-3,0,3,2,88%,86%,2%
Perdomo, Geraldo,672695,D-backs,,SS,2,3,4,-1,-1,1,4,-2,76%,75%,1%
Peterson, Jace,607054,Brewers,,2B,5,6,0,3,3,0,4,2,77%,75%,2%
Peña, Jeremy,665161,Astros,,SS,5,7,3,3,0,0,3,4,80%,79%,1%
Pham, Tommy,502054,---,,LF,-5,-6,0,-1,-3,-1,-4,-1,84%,87%,-3%
Phillips, Brett,621433,---,,CF,10,11,1,5,2,2,7,4,95%,88%,7%
Pinder, Chad,640461,Athletics,,LF,-6,-8,-2,-3,0,-2,-6,-2,85%,89%,-4%
Polanco, Jorge,593871,Twins,,SS,-6,-8,1,-3,-7,0,-5,-4,74%,76%,-2%
Pollock, AJ,572041,White Sox,,CF,-1,-2,-1,1,-1,0,-5,3,88%,88%,0%
Profar, Jurickson,595777,Padres,,2B,-5,-6,-1,0,-4,0,-3,-2,84%,86%,-2%
Ramírez, José,608070,Guardians,,3B,3,3,1,4,0,-2,9,-6,71%,70%,1%
Renfroe, Hunter,592669,Brewers,,RF,-2,-2,0,0,-1,-2,0,-1,87%,88%,-1%
Rengifo, Luis,650859,Angels,,2B,-6,-8,-5,-1,-1,0,-9,2,75%,77%,-2%
Reyes, Victor,622682,Tigers,,RF,-2,-2,0,-1,-1,0,-2,0,88%,89%,-1%
Reynolds, Bryan,668804,Pirates,,CF,-6,-7,0,0,-5,-2,1,-8,87%,90%,-3%
Reynolds, Matt,608703,Reds,,SS,0,-1,1,-1,-1,0,-2,1,80%,80%,0%
Riley, Austin,663586,Braves,,3B,-6,-7,-6,1,-3,0,-7,0,71%,73%,-2%
Rivas, Alfonso,663845,Cubs,,1B,-2,-2,2,-1,-1,-1,0,-3,78%,79%,-1%
Rivera, Emmanuel,656896,---,,3B,2,3,5,1,-4,0,3,0,70%,69%,1%
Rizzo, Anthony,519203,Yankees,,1B,-3,-3,0,-3,-2,1,-1,-2,68%,70%,-2%
Robert Jr., Luis,673357,White Sox,,CF,3,3,0,1,2,1,-1,4,89%,88%,1%
Robles, Victor,645302,Nationals,,CF,5,6,2,3,2,-1,6,0,92%,90%,2%
Rodgers, Brendan,663898,Rockies,,2B,2,3,3,0,0,-1,4,-1,81%,80%,1%
Rodríguez, Julio,677594,Mariners,,CF,8,9,1,3,3,1,6,2,95%,93%,2%
Rojas, Josh,668942,D-backs,,3B,-4,-5,-1,1,-7,2,-6,0,73%,74%,-1%
Rojas, Miguel,500743,Marlins,,SS,9,12,6,3,2,0,8,4,77%,74%,3%
Rosario, Amed,642708,Guardians,,SS,-8,-11,2,-2,-11,-1,-7,-4,75%,77%,-2%
Santana, Carlos,467793,---,,1B,2,3,0,-1,4,0,0,3,72%,71%,1%
Santander, Anthony,623993,Orioles,,RF,-4,-5,0,-4,0,-1,-5,0,84%,86%,-2%
Schoop, Jonathan,570731,Tigers,,2B,20,27,5,14,4,3,13,14,79%,72%,7%
Schwarber, Kyle,656941,Phillies,,LF,-12,-13,-3,-1,-7,-2,-7,-6,81%,86%,-5%
Seager, Corey,608369,Rangers,,SS,3,4,2,0,3,0,5,-1,72%,71%,1%
Segura, Jean,516416,Phillies,,SS,3,3,3,1,0,-1,0,3,74%,73%,1%
Semien, Marcus,543760,Rangers,,SS,6,8,9,4,-6,1,3,5,77%,76%,1%
Senzel, Nick,669222,Reds,,CF,0,0,0,0,1,-1,-1,1,88%,88%,0%
Sheets, Gavin,657757,White Sox,,RF,-4,-4,0,-5,-1,1,-1,-4,86%,88%,-2%
Siri, Jose,642350,---,,CF,14,15,1,5,8,1,13,2,94%,88%,6%
Slater, Austin,596103,Giants,,CF,2,2,1,1,1,-2,2,0,90%,89%,1%
Smith, Josh H.,669701,Rangers,,3B,1,1,2,-2,0,1,-1,2,77%,77%,0%
Smith, Kevin,675656,Athletics,,3B,2,3,3,0,0,0,1,2,75%,73%,2%
Sosa, Edmundo,624641,---,,SS,8,10,0,5,3,2,8,2,81%,76%,5%
Soto, Juan,665742,---,,RF,-14,-16,-2,-2,-9,-3,-6,-10,85%,89%,-4%
Springer, George,543807,Blue Jays,,CF,2,2,0,1,0,1,3,-2,91%,91%,0%
Story, Trevor,596115,Red Sox,,SS,8,10,1,2,6,0,9,1,81%,78%,3%
Stott, Bryson,681082,Phillies,,SS,1,2,1,4,-3,0,1,0,75%,74%,1%
Straw, Myles,664702,Guardians,,CF,12,13,2,5,6,0,7,6,91%,88%,3%
Suwinski, Jack,669261,Pirates,,LF,1,1,1,-1,3,-1,1,0,87%,86%,1%
Suzuki, Seiya,673548,Cubs,,RF,-3,-4,-1,-2,0,0,-2,-2,88%,89%,-1%
Suárez, Eugenio,553993,Mariners,,3B,0,0,0,0,-2,1,2,-2,72%,72%,0%
Swanson, Dansby,621020,Braves,,SS,16,21,11,12,-2,0,20,1,78%,75%,3%
Sánchez, Jesús,660821,Marlins,,CF,-2,-2,0,1,-3,-1,-2,0,89%,90%,-1%
Tapia, Raimel,606132,Blue Jays,,LF,-4,-5,1,-1,-4,0,-2,-3,88%,90%,-2%
Taveras, Leody,665750,Rangers,,CF,4,4,-1,3,2,1,0,5,89%,87%,2%
Taylor, Chris,621035,Dodgers,,SS,2,3,1,1,1,0,1,2,85%,84%,1%
Taylor, Michael A.,572191,Royals,,CF,5,5,-3,3,4,1,3,3,89%,88%,1%
Taylor, Tyrone,621438,Brewers,,CF,6,7,0,3,3,0,3,4,90%,88%,2%
Tellez, Rowdy,642133,Brewers,,1B,-3,-4,-2,-1,-1,-1,-5,1,68%,70%,-2%
Thomas, Alek,677950,D-backs,,CF,6,7,1,2,3,1,4,3,91%,89%,2%
Thomas, Lane,657041,Nationals,,CF,-3,-3,2,-3,0,-2,-2,-1,89%,90%,-1%
Thompson, Trayce,572204,---,,RF,2,3,1,1,1,0,3,-1,88%,86%,2%
Torkelson, Spencer,679529,Tigers,,1B,-1,-1,1,-4,1,1,-1,0,75%,75%,0%
Toro, Abraham,647351,Mariners,,2B,0,0,1,2,-3,0,1,0,76%,76%,0%
Torres, Gleyber,650402,Yankees,,2B,0,-1,-1,3,-1,-1,1,-1,79%,79%,0%
Trout, Mike,545361,Angels,,CF,3,3,0,2,2,0,3,0,90%,89%,1%
Tucker, Kyle,663656,Astros,,RF,5,5,1,-1,4,2,5,1,91%,89%,2%
Turner, Justin,457759,Dodgers,,3B,-2,-2,-2,-1,3,-2,-1,-1,74%,75%,-1%
Turner, Trea,607208,Dodgers,,SS,0,0,0,-1,0,1,1,-1,76%,76%,0%
Urshela, Gio,570482,Twins,,3B,-4,-5,-4,-2,2,0,-4,-2,69%,70%,-1%
Urías, Luis,649966,Brewers,,3B,-1,-2,-4,0,0,2,-4,2,74%,75%,-1%
Urías, Ramón,602104,Orioles,,3B,4,6,2,-1,5,0,3,3,76%,75%,1%
VanMeter, Josh,642165,Pirates,,2B,-1,-1,-1,2,-1,0,1,-1,72%,73%,-1%
Vargas, Ildemaro,545121,---,,3B,5,7,0,4,1,1,7,0,76%,73%,3%
Varsho, Daulton,662139,D-backs,,CF,16,18,5,4,4,5,14,4,92%,85%,7%
Vaughn, Andrew,683734,White Sox,,LF,-17,-20,-5,-7,-5,-3,-7,-13,74%,83%,-9%
Velazquez, Andrew,623205,Angels,,SS,2,3,-2,3,0,2,-1,3,79%,79%,0%
Verdugo, Alex,657077,Red Sox,,LF,-4,-4,2,-4,-4,2,-1,-3,83%,84%,-1%
Vierling, Matt,663837,Phillies,,CF,0,0,0,-1,1,0,-1,1,85%,85%,0%
Villar, Jonathan,542340,---,,2B,-11,-15,-3,-4,-8,0,-14,-2,64%,73%,-9%
Votto, Joey,458015,Reds,,1B,-7,-9,-1,-6,-1,-2,-4,-5,70%,75%,-5%
Wade, Tyler,642180,Angels,,2B,-2,-3,1,-1,-2,-1,-4,1,78%,80%,-2%
Walker, Christian,572233,D-backs,,1B,11,14,2,12,2,-2,3,11,77%,73%,4%
Walls, Taylor,670764,Rays,,SS,-8,-11,-8,-2,-1,1,-9,-3,81%,83%,-2%
Walsh, Jared,665120,Angels,,1B,0,0,0,-2,1,0,-1,0,72%,72%,0%
Ward, Taylor,621493,Angels,,RF,1,1,1,0,-1,2,1,0,89%,88%,1%
Wendle, Joey,621563,Marlins,,2B,2,3,-1,2,2,0,4,-1,78%,77%,1%
Winker, Jesse,608385,Mariners,,LF,-9,-10,-2,-3,-4,-1,-6,-4,81%,86%,-5%
Wisdom, Patrick,621550,Cubs,,3B,-12,-15,-4,-5,-5,-2,-9,-6,67%,71%,-4%
Witt Jr., Bobby,677951,Royals,,SS,-8,-11,0,-6,-5,-1,-10,-1,69%,71%,-2%
Wong, Kolten,543939,Brewers,,2B,-7,-10,-7,-3,0,1,-4,-6,76%,79%,-3%
Yastrzemski, Mike,573262,Giants,,RF,2,2,1,2,0,-2,4,-2,87%,86%,1%
Yelich, Christian,592885,Brewers,,LF,-4,-5,0,-3,-2,0,-2,-3,86%,89%,-3%